l1_cache.stateEvent_GetS_I : Accumulator : SimTime = 1275984716688; Rank = 0; Sum.u64 = 10464362; SumSQ.u64 = 10464362; Count.u64 = 10464362; Min.u64 = 1; Max.u64 = 1; 
l1_cache.stateEvent_GetS_S : Accumulator : SimTime = 1275984716688; Rank = 0; Sum.u64 = 0; SumSQ.u64 = 0; Count.u64 = 0; Min.u64 = 0; Max.u64 = 0; 
l1_cache.stateEvent_GetS_M : Accumulator : SimTime = 1275984716688; Rank = 0; Sum.u64 = 16337446; SumSQ.u64 = 16337446; Count.u64 = 16337446; Min.u64 = 1; Max.u64 = 1; 
l1_cache.stateEvent_GetX_I : Accumulator : SimTime = 1275984716688; Rank = 0; Sum.u64 = 5502127; SumSQ.u64 = 5502127; Count.u64 = 5502127; Min.u64 = 1; Max.u64 = 1; 
l1_cache.stateEvent_GetX_S : Accumulator : SimTime = 1275984716688; Rank = 0; Sum.u64 = 0; SumSQ.u64 = 0; Count.u64 = 0; Min.u64 = 0; Max.u64 = 0; 
l1_cache.stateEvent_GetX_M : Accumulator : SimTime = 1275984716688; Rank = 0; Sum.u64 = 55040677; SumSQ.u64 = 55040677; Count.u64 = 55040677; Min.u64 = 1; Max.u64 = 1; 
l1_cache.stateEvent_GetSX_I : Accumulator : SimTime = 1275984716688; Rank = 0; Sum.u64 = 0; SumSQ.u64 = 0; Count.u64 = 0; Min.u64 = 0; Max.u64 = 0; 
l1_cache.stateEvent_GetSX_S : Accumulator : SimTime = 1275984716688; Rank = 0; Sum.u64 = 0; SumSQ.u64 = 0; Count.u64 = 0; Min.u64 = 0; Max.u64 = 0; 
l1_cache.stateEvent_GetSX_M : Accumulator : SimTime = 1275984716688; Rank = 0; Sum.u64 = 0; SumSQ.u64 = 0; Count.u64 = 0; Min.u64 = 0; Max.u64 = 0; 
l1_cache.stateEvent_GetSResp_IS : Accumulator : SimTime = 1275984716688; Rank = 0; Sum.u64 = 0; SumSQ.u64 = 0; Count.u64 = 0; Min.u64 = 0; Max.u64 = 0; 
l1_cache.stateEvent_GetXResp_IS : Accumulator : SimTime = 1275984716688; Rank = 0; Sum.u64 = 10464362; SumSQ.u64 = 10464362; Count.u64 = 10464362; Min.u64 = 1; Max.u64 = 1; 
l1_cache.stateEvent_GetXResp_IM : Accumulator : SimTime = 1275984716688; Rank = 0; Sum.u64 = 5502127; SumSQ.u64 = 5502127; Count.u64 = 5502127; Min.u64 = 1; Max.u64 = 1; 
l1_cache.stateEvent_GetXResp_SM : Accumulator : SimTime = 1275984716688; Rank = 0; Sum.u64 = 0; SumSQ.u64 = 0; Count.u64 = 0; Min.u64 = 0; Max.u64 = 0; 
l1_cache.stateEvent_Inv_I : Accumulator : SimTime = 1275984716688; Rank = 0; Sum.u64 = 0; SumSQ.u64 = 0; Count.u64 = 0; Min.u64 = 0; Max.u64 = 0; 
l1_cache.stateEvent_Inv_S : Accumulator : SimTime = 1275984716688; Rank = 0; Sum.u64 = 0; SumSQ.u64 = 0; Count.u64 = 0; Min.u64 = 0; Max.u64 = 0; 
